"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\zhangyangli\Desktop\flutter\flutter_test_demo\lib\card_page.dart", "Dart", 154, 4, 10, 168
"c:\Users\zhangyangli\Desktop\flutter\flutter_test_demo\lib\data\data.dart", "Dart", 41, 1, 6, 48
"c:\Users\zhangyangli\Desktop\flutter\flutter_test_demo\lib\main.dart", "Dart", 37, 2, 4, 43
"c:\Users\zhangyangli\Desktop\flutter\flutter_test_demo\lib\page\detail.dart", "Dart", 112, 0, 2, 114
"c:\Users\zhangyangli\Desktop\flutter\flutter_test_demo\lib\top.dart", "Dart", 34, 0, 5, 39
"Total", "-", 378, 7, 27, 412
